iter	Passed	Remaining
652	12564	6676
653	12589	6660
654	12609	6641
655	12634	6625
656	12656	6607
657	12676	6588
658	12699	6571
659	12721	6553
660	12746	6537
661	12770	6520
662	12793	6502
663	12812	6483
664	12831	6464
665	12853	6446
666	12874	6427
667	12896	6409
668	12918	6391
669	12937	6372
670	12958	6353
671	12981	6336
672	13005	6319
673	13025	6300
674	13048	6282
675	13065	6262
676	13088	6244
677	13106	6224
678	13127	6206
679	13145	6186
680	13165	6167
681	13185	6148
682	13204	6128
683	13226	6110
684	13249	6092
685	13268	6073
686	13286	6053
687	13305	6033
688	13325	6015
689	13344	5995
690	13364	5976
691	13379	5955
692	13398	5935
693	13415	5915
694	13435	5895
695	13454	5876
696	13474	5857
697	13495	5838
698	13512	5818
699	13531	5799
700	13550	5779
701	13571	5760
702	13590	5741
703	13608	5721
704	13626	5701
705	13644	5681
706	13660	5661
707	13680	5642
708	13698	5622
709	13718	5603
710	13735	5582
711	13757	5564
712	13772	5543
713	13790	5523
714	13807	5503
715	13825	5483
716	13841	5463
717	13859	5443
718	13877	5423
719	13895	5403
720	13914	5384
721	13934	5365
722	13953	5345
723	13972	5326
724	13993	5307
725	14014	5289
726	14034	5270
727	14054	5251
728	14072	5231
729	14088	5210
730	14105	5190
731	14123	5170
732	14141	5150
733	14160	5131
734	14181	5113
735	14201	5093
736	14218	5074
737	14237	5054
738	14256	5035
739	14277	5016
740	14299	4997
741	14316	4978
742	14334	4958
743	14353	4938
744	14370	4918
745	14388	4899
746	14408	4880
747	14428	4860
748	14445	4840
749	14464	4821
750	14483	4801
751	14503	4783
752	14521	4763
753	14540	4744
754	14559	4724
755	14581	4706
756	14601	4687
757	14623	4668
758	14643	4649
759	14661	4629
760	14679	4610
761	14699	4591
762	14717	4571
763	14735	4551
764	14754	4532
765	14776	4514
766	14796	4494
767	14814	4475
768	14834	4456
769	14852	4436
770	14870	4416
771	14885	4396
772	14903	4376
773	14919	4356
774	14937	4336
775	14952	4316
776	14971	4296
777	14991	4277
778	15011	4258
779	15029	4239
780	15047	4219
781	15066	4200
782	15084	4180
783	15103	4161
784	15117	4140
785	15138	4121
786	15154	4101
787	15170	4081
788	15188	4061
789	15207	4042
790	15225	4022
791	15242	4002
792	15260	3983
793	15279	3964
794	15298	3944
795	15317	3925
796	15336	3906
797	15356	3887
798	15374	3867
799	15393	3848
800	15412	3829
801	15431	3809
802	15453	3791
803	15472	3771
804	15492	3752
805	15512	3733
806	15532	3714
807	15552	3695
808	15572	3676
809	15590	3656
810	15610	3637
811	15626	3618
812	15646	3598
813	15667	3579
814	15692	3562
815	15715	3543
816	15739	3525
817	15767	3508
818	15786	3488
819	15808	3470
820	15841	3453
821	15866	3435
822	15917	3423
823	15951	3407
824	15974	3388
825	16001	3370
826	16026	3352
827	16047	3333
828	16071	3315
829	16094	3296
830	16123	3278
831	16147	3260
832	16173	3242
833	16211	3226
834	16232	3207
835	16255	3188
836	16278	3170
837	16303	3151
838	16325	3132
839	16346	3113
840	16372	3095
841	16398	3077
842	16423	3058
843	16442	3039
844	16465	3020
845	16485	3000
846	16506	2981
847	16525	2962
848	16545	2942
849	16565	2923
850	16588	2904
851	16609	2885
852	16637	2867
853	16662	2848
854	16686	2829
855	16707	2810
856	16730	2791
857	16750	2772
858	16774	2753
859	16797	2734
860	16818	2715
861	16840	2696
862	16861	2676
863	16883	2657
864	16909	2639
865	16931	2619
866	16952	2600
867	16976	2581
868	16997	2562
869	17017	2542
870	17035	2523
871	17059	2504
872	17078	2484
873	17098	2464
874	17117	2445
875	17138	2425
876	17157	2406
877	17177	2386
